"photo-13279251_301464311";"http://cs416522.vk.me/v416522826/5949/416yZ_AGYT8.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Черный";"Мокасины женские";910;"KR10004";" 35-39";"Черный";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359955159";"http://cs540103.vk.me/c540101/v540101826/4bffe/zuHHM0PRTMU.jpg";"Женские мокасины <br/>Цена: 960 грн.<br/>Размеры: 35-40<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10041<br/>Черный";"Женские мокасины ";960;"KR10041";" 35-40";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359955162";"http://cs540103.vk.me/c540101/v540101826/4c006/eL2KwknnWNg.jpg";"Женские мокасины <br/>Цена: 960 грн.<br/>Размеры: 35-40<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10041<br/>Серый";"Женские мокасины ";960;"KR10041";" 35-40";"Серый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359955168";"http://cs540103.vk.me/c540101/v540101826/4c00e/75JJouFRfZk.jpg";"Женские мокасины <br/>Цена: 960 грн.<br/>Размеры: 35-40<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10041<br/>Серый";"Женские мокасины ";960;"KR10041";" 35-40";"Серый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956016";"http://cs540103.vk.me/c540101/v540101826/4c016/WwYiNkkZ8O4.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042";"Женские мокасины ";970;"KR10042";" 35-39";;"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";"Missing colour;"
"photo-13279251_359956020";"http://cs540103.vk.me/c540101/v540101826/4c01e/4PXffn5C-F8.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956024";"http://cs540103.vk.me/c540101/v540101826/4c026/62j72LAoshU.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956027";"http://cs540103.vk.me/c540101/v540101826/4c02e/tTlPpL_-af0.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956032";"http://cs540103.vk.me/c540101/v540101826/4c036/3Lc0G5Y_yfI.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черныйффф";"Женские мокасины ";970;"KR10042";" 35-39";"Черныйффф";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956035";"http://cs540103.vk.me/c540101/v540101826/4c03e/bzTZZOKyc-Q.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956042";"http://cs540103.vk.me/c540101/v540101826/4c045/1JqW7pBGJDI.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956054";"http://cs540103.vk.me/c540101/v540101826/4c04d/gSvsvWZ01Y4.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956061";"http://cs540103.vk.me/c540101/v540101826/4c055/KVTYa2uZT9s.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956069";"http://cs540103.vk.me/c540101/v540101826/4c05d/v1xDFolxfCI.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956078";"http://cs540103.vk.me/c540101/v540101826/4c065/DxORGhCWT0A.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956083";"http://cs540103.vk.me/c540101/v540101826/4c06d/dc7WT7rbvaM.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956085";"http://cs540103.vk.me/c540101/v540101826/4c075/sfEjggZ-Cfs.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956088";"http://cs540103.vk.me/c540101/v540101826/4c07d/28iTD1oj-d0.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956092";"http://cs540103.vk.me/c540101/v540101826/4c085/cXalTjoxzaQ.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Синий";"Женские мокасины ";970;"KR10042";" 35-39";"Синий";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956098";"http://cs540103.vk.me/c540101/v540101826/4c08d/Tzzmy4RD21A.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956101";"http://cs540103.vk.me/c540101/v540101826/4c095/houvFiGmZBw.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359956108";"http://cs540103.vk.me/c540101/v540101826/4c09d/0kMh_DLbstM.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 4 см.<br/>Сезон: весна, лето, осень<br/>KR10042<br/>Черный";"Женские мокасины ";970;"KR10042";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 4 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957816";"http://cs540103.vk.me/c540101/v540101826/4c0a5/vW1il8rU5H8.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957820";"http://cs540103.vk.me/c540101/v540101826/4c0ad/OCJZ7eM27LM.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957825";"http://cs540103.vk.me/c540101/v540101826/4c0b5/lNOR7QeF8cA.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957840";"http://cs540103.vk.me/c540101/v540101826/4c0bd/YaWU0dW5pe0.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957846";"http://cs540103.vk.me/c540101/v540101826/4c0c5/sXvZ5xQQ5tw.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957855";"http://cs540103.vk.me/c540101/v540101826/4c0cd/6RjhTg-GMx8.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957861";"http://cs540103.vk.me/c540101/v540101826/4c0d5/U_vO2Jw_x0Q.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Черный";"Женские мокасины ";970;"KR10043";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957865";"http://cs540103.vk.me/c540101/v540101826/4c0dd/L9COINix13E.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Черный";"Женские мокасины ";970;"KR10043";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957872";"http://cs540103.vk.me/c540101/v540101826/4c0e5/8rAbTXLgBU0.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Черный";"Женские мокасины ";970;"KR10043";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957884";"http://cs540103.vk.me/c540101/v540101826/4c0ed/-ovF9iIu8AY.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Черный";"Женские мокасины ";970;"KR10043";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957890";"http://cs540103.vk.me/c540101/v540101826/4c0f5/9AkpsZaxy4w.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Черный";"Женские мокасины ";970;"KR10043";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957894";"http://cs540103.vk.me/c540101/v540101826/4c0fd/YblxWQecDzg.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Черный";"Женские мокасины ";970;"KR10043";" 35-39";"Черный";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957899";"http://cs540103.vk.me/c540101/v540101826/4c105/RCzdyIgcvuM.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_359957901";"http://cs540103.vk.me/c540101/v540101826/4c10d/1ovw8EZsm_U.jpg";"Женские мокасины <br/>Цена: 970 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10043<br/>Белый";"Женские мокасины ";970;"KR10043";" 35-39";"Белый";"<h1>Женские мокасины </h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709987";"http://cs540103.vk.me/c540101/v540101826/51686/9d1ccG2-8BE.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";;"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";"Missing colour;"
"photo-13279251_373709994";"http://cs540103.vk.me/c540101/v540101826/5168e/TKweYI4AYvI.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Белый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Белый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709941";"http://cs540103.vk.me/c540101/v540101826/51627/tT5psGSokyc.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Белый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Белый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709943";"http://cs540103.vk.me/c540101/v540101826/5162f/pd62xbf1ZH0.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Белый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Белый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709944";"http://cs540103.vk.me/c540101/v540101826/51637/-5WH9FD66XA.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Бежевый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Бежевый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709980";"http://cs540103.vk.me/c540101/v540101826/51676/DKzZPRnzKEA.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Бежевый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Бежевый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709957";"http://cs540103.vk.me/c540101/v540101826/51647/EWSZbAql-Z0.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Бежевый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Бежевый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709975";"http://cs540103.vk.me/c540101/v540101826/5166e/MChzSwrJVzg.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Розовый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Розовый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373710000";"http://cs540103.vk.me/c540101/v540101826/5169e/jFg22eCdyjI.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Розовый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Розовый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709962";"http://cs540103.vk.me/c540101/v540101826/5164f/xT9M9OIvpyA.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Коричневый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Коричневый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709965";"http://cs540103.vk.me/c540101/v540101826/51657/3hElyMLx9R0.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный+Коричневый";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный+Коричневый";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709971";"http://cs540103.vk.me/c540101/v540101826/51667/ZvcDvf91Zyo.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709954";"http://cs540103.vk.me/c540101/v540101826/5163f/FuTGTYZDsTg.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_373709967";"http://cs540103.vk.me/c540101/v540101826/5165f/ObwdFCvQ5fI.jpg";"Женские мокасины с 3D Printom<br/>Цена: 1080 грн.<br/>Размеры: 35-39<br/>Материал: прессованная кожа<br/>Высота подошвы: 3,5 см.<br/>Сезон: весна, лето, осень<br/>KR10044<br/>Черный";"Женские мокасины с 3D Printom";1080;"KR10044";" 35-39";"Черный";"<h1>Женские мокасины с 3D Printom</h1><br/><b>Материал:</b> прессованная кожа<br/><b>Высота подошвы:</b> 3,5 см.<br/><b>Сезон:</b> весна, лето, осень<br/>";""
